%% time, position, velocity, current, output, reference
2302.9226,-1803,1,-35,0.046875,0
2302.9231,-1802,2,-38,0.046875,0
2302.9236,-1802,2,-41,0.046875,0
2302.9241,-1802,-1,-41,0.046875,0
2302.9246,-1802,-1,-41,0.046875,0
2302.9250,-1802,-1,-35,0.046875,0
2302.9255,-1802,-1,-26,0.046875,0
2302.9260,-1802,-1,-23,0.046875,0
2302.9265,-1802,-1,-20,0.046875,0
2302.9270,-1802,0,-20,0.046875,0
2302.9275,-1802,0,-26,0.046875,0
2302.9282,-1802,1,-29,0.046875,0
2302.9561,-1802,-1,-44,0.046875,0
2302.9565,-1802,-1,-41,0.046875,0
2302.9570,-1802,-1,-41,0.046875,0
2302.9575,-1802,-1,-38,0.046875,0
2302.9580,-1802,2,-35,0.046875,0
2302.9585,-1802,2,-38,0.046875,0
2302.9592,-1802,-1,-41,0.046875,0
2302.9597,-1802,-1,-44,0.046875,0
2302.9602,-1802,-2,-47,0.046875,0
2302.9607,-1802,-2,-44,0.046875,0
2302.9612,-1802,-1,-41,0.046875,0
2302.9617,-1802,-1,-41,0.046875,0
2302.9907,-1802,0,-32,0.046875,0
2302.9912,-1802,2,-38,0.046875,0
2302.9917,-1802,2,-41,0.046875,0
2302.9922,-1802,-2,-47,0.046875,0
2302.9927,-1802,-2,-53,0.046875,0
2302.9932,-1803,0,-53,0.046875,0
2302.9937,-1803,0,-53,0.046875,0
2302.9941,-1803,1,-50,0.046875,0
2302.9946,-1803,1,-47,0.046875,0
2302.9951,-1803,0,-50,0.046875,0
2302.9956,-1803,0,-50,0.046875,0
2302.9961,-1802,3,-47,0.046875,0
2303.0242,-1802,1,-41,0.046875,0
2303.0247,-1802,1,-44,0.046875,0
2303.0251,-1802,0,-44,0.046875,0
2303.0256,-1802,0,-41,0.046875,0
2303.0261,-1802,2,-44,0.046875,0
2303.0266,-1802,2,-41,0.046875,0
2303.0271,-1802,1,-35,0.046875,0
2303.0276,-1802,1,-32,0.046875,0
2303.0281,-1802,1,-29,0.046875,0
2303.0286,-1802,1,-29,0.046875,0
2303.0291,-1802,1,-35,0.046875,0
2303.0295,-1802,1,-38,0.046875,0
2303.0437,-1802,1,-29,0.046875,0
2303.0442,-1803,0,-26,0.046875,0
2303.0447,-1803,0,-23,0.046875,0
2303.0452,-1802,1,-23,0.046875,0
2303.0457,-1802,1,-23,0.046875,0
2303.0461,-1802,1,-29,0.046875,0
2303.0466,-1802,1,-32,0.046875,0
