%% time, position, velocity, current, output, reference
3303.6726,17,-1,11,-0.09375,0
3303.6731,17,0,2,-0.09375,0
3303.6736,17,0,-15,-0.09375,0
3303.6741,17,0,-30,-0.09375,0
3303.6746,17,0,-41,-0.09375,0
3303.6750,16,-1,-44,-0.09375,0
3303.6755,16,-1,-41,-0.09375,0
3303.6763,16,-1,-38,-0.09375,0
3303.6768,16,-1,-35,-0.09375,0
3303.6772,16,1,-35,-0.09375,0
3303.6777,16,1,-35,-0.09375,0
3303.6782,16,-1,-35,-0.09375,0
3303.6917,17,1,-29,-0.09375,0
3303.6921,17,1,-18,-0.09375,0
3303.6926,17,1,-12,-0.09375,0
3303.6931,17,-1,-12,-0.09375,0
3303.6936,17,-1,-15,-0.09375,0
3303.6941,17,0,-23,-0.09375,0
3303.6946,17,0,-29,-0.09375,0
3303.6951,17,2,-29,-0.09375,0
3303.6956,17,2,-29,-0.09375,0
3303.6960,17,2,-26,-0.09375,0
3303.6968,17,2,-23,-0.09375,0
3303.6973,17,0,-20,-0.09375,0
3303.7256,17,-2,-32,-0.09375,0
3303.7261,16,0,-35,-0.09375,0
3303.7266,16,0,-38,-0.09375,0
3303.7271,16,-1,-38,-0.09375,0
3303.7275,16,-1,-35,-0.09375,0
3303.7283,16,1,-35,-0.09375,0
3303.7288,16,1,-32,-0.09375,0
3303.7292,16,2,-29,-0.09375,0
3303.7297,16,2,-29,-0.09375,0
3303.7302,16,0,-29,-0.09375,0
3303.7307,16,0,-29,-0.09375,0
3303.7312,16,1,-26,-0.09375,0
3303.7598,16,1,-17,-0.09375,0
3303.7603,16,2,-20,-0.09375,0
3303.7607,16,2,-23,-0.09375,0
3303.7612,17,1,-26,-0.09375,0
3303.7617,17,1,-26,-0.09375,0
3303.7622,17,3,-23,-0.09375,0
3303.7627,17,3,-23,-0.09375,0
3303.7632,17,0,-20,-0.09375,0
3303.7637,17,0,-15,-0.09375,0
3303.7642,17,1,-9,-0.09375,0
3303.7646,17,1,-3,-0.09375,0
3303.7651,17,-2,-3,-0.09375,0
3303.7937,17,2,-29,-0.09375,0
3303.7942,17,-1,-38,-0.09375,0
3303.7947,17,-1,-44,-0.09375,0
3303.7952,17,0,-44,-0.09375,0
3303.7957,17,0,-38,-0.09375,0
3303.7961,17,0,-32,-0.09375,0
3303.7966,17,0,-23,-0.09375,0
3303.7971,17,-1,-20,-0.09375,0
3303.7976,17,-1,-23,-0.09375,0
3303.7981,17,0,-23,-0.09375,0
3303.7986,17,0,-29,-0.09375,0
