%% time, position, velocity, current, output, reference
4863.6479,59,2,-6,2.34375,0
4863.6484,59,1,-3,2.34375,0
4863.6489,59,1,-3,2.34375,0
4863.6494,59,0,-9,2.34375,0
4863.6499,59,0,-18,2.34375,0
4863.6504,59,1,-26,2.34375,0
4863.6509,59,1,-32,2.34375,0
4863.6514,59,1,-35,2.34375,0
4863.6519,59,1,-32,2.34375,0
4863.6523,59,1,-29,2.34375,0
4863.6528,59,1,-26,2.34375,0
4863.6533,59,0,-23,2.34375,0
4863.6816,59,1,-15,2.34375,0
4863.6821,59,-3,-15,2.34375,0
4863.6826,59,-3,-23,2.34375,0
4863.6831,59,-1,-29,2.34375,0
4863.6836,59,-1,-32,2.34375,0
4863.6841,59,1,-35,2.34375,0
4863.6846,59,1,-35,2.34375,0
4863.6851,59,2,-32,2.34375,0
4863.6855,59,2,-29,2.34375,0
4863.6860,59,1,-23,2.34375,0
4863.6865,59,1,-20,2.34375,0
4863.6870,59,1,-17,2.34375,0
4863.7158,59,1,-35,2.34375,0
4863.7163,59,0,-32,2.34375,0
4863.7168,59,0,-26,2.34375,0
4863.7173,59,-1,-20,2.34375,0
4863.7178,59,-1,-14,2.34375,0
4863.7183,59,0,-14,2.34375,0
4863.7188,59,0,-20,2.34375,0
4863.7192,59,0,-26,2.34375,0
4863.7197,59,0,-32,2.34375,0
4863.7202,59,2,-35,2.34375,0
4863.7207,59,2,-38,2.34375,0
4863.7212,59,1,-41,2.34375,0
4863.7500,59,0,-29,2.34375,0
4863.7505,59,0,-26,2.34375,0
4863.7515,59,1,-26,2.34375,0
4863.7520,59,1,-23,2.34375,0
4863.7524,59,2,-17,2.34375,0
4863.7529,59,2,-14,2.34375,0
4863.7534,59,1,-11,2.34375,0
4863.7539,59,1,-11,2.34375,0
4863.7544,59,-1,-14,2.34375,0
4863.7549,59,-1,-17,2.34375,0
4863.7554,59,0,-23,2.34375,0
4863.7559,59,0,-32,2.34375,0
4863.7734,59,1,-38,2.34375,0
4863.7739,59,1,-44,2.34375,0
4863.7744,59,1,-44,2.34375,0
4863.7749,59,1,-38,2.34375,0
4863.7754,59,2,-32,2.34375,0
4863.7759,59,2,-23,2.34375,0
4863.7764,59,0,-17,2.34375,0
4863.7769,59,0,-17,2.34375,0
4863.7773,59,1,-17,2.34375,0
4863.7778,59,1,-23,2.34375,0
4863.7783,59,0,-29,2.34375,0
4863.7788,59,0,-32,2.34375,0
4863.8081,59,0,80,2.34375,0
4863.8086,59,0,86,2.34375,0
4863.8091,59,1,95,2.34375,0
4863.8096,59,1,101,2.34375,0
4863.8101,59,3,101,2.34375,0
4863.8105,59,3,101,2.34375,0
4863.8110,59,1,101,2.34375,0
4863.8115,59,1,101,2.34375,0
4863.8120,60,3,110,2.34375,0
4863.8125,60,3,119,2.34375,0
4863.8130,60,4,122,2.34375,0
4863.8140,60,4,125,2.34375,0
4863.8423,97,40,1004,15.6563,314
4863.8428,97,40,1084,15.6563,314
4863.8433,100,45,1135,13.0313,314
4863.8438,100,45,1138,13.0313,314
4863.8442,103,49,1105,12.75,314
4863.8447,103,49,1063,12.75,314
4863.8452,106,54,1013,12.4688,314
4863.8457,106,54,962,12.4688,314
4863.8462,109,60,911,12.1875,314
4863.8467,109,60,855,12.1875,314
4863.8472,113,68,795,9.46875,314
4863.8477,113,68,774,9.46875,314
4863.8628,212,122,-605,-6.84375,314
4863.8633,219,123,-638,-7.5,314
4863.8638,219,123,-638,-7.5,314
4863.8643,227,119,-602,-10.5938,314
4863.8647,227,119,-584,-10.5938,314
4863.8652,234,118,-599,-8.90625,314
4863.8657,234,118,-656,-8.90625,314
4863.8662,241,116,-757,-9.5625,314
4863.8667,241,116,-855,-9.5625,314
4863.8672,247,111,-942,-7.78125,314
4863.8677,247,111,-993,-7.78125,314
4863.8682,254,105,-1001,-10.7813,314
4863.8818,309,39,-703,-6.5625,314
4863.8823,311,34,-650,-4.40625,314
4863.8828,311,34,-605,-4.40625,314
4863.8833,313,30,-575,-4.59375,314
4863.8838,313,30,-563,-4.59375,314
4863.8843,314,24,-560,-2.34375,314
4863.8848,314,24,-554,-2.34375,314
4863.8853,316,22,-542,-4.875,314
4863.8857,316,22,-521,-4.875,314
4863.8862,317,16,-489,-2.625,314
4863.8867,317,16,-453,-2.625,314
4863.8872,317,16,-420,-0.28125,314
4863.9014,317,-8,-65,-0.28125,314
4863.9019,317,-8,-53,-0.28125,314
4863.9023,316,-9,-38,2.15625,314
4863.9028,316,-9,-32,2.15625,314
4863.9033,316,-7,-38,-0.1875,314
4863.9038,316,-7,-44,-0.1875,314
4863.9043,315,-7,-44,2.25,314
4863.9048,315,-7,-38,2.25,314
4863.9053,315,-7,-32,-0.09375,314
4863.9058,315,-7,-26,-0.09375,314
4863.9063,314,-7,-20,2.34375,314
4863.9067,314,-7,-20,2.34375,314
4863.9199,310,-3,154,0.375,314
4863.9204,309,-2,166,2.8125,314
4863.9209,309,-2,154,2.8125,314
4863.9214,309,-2,124,0.46875,314
4863.9219,309,-2,104,0.46875,314
4863.9224,309,-1,92,0.46875,314
4863.9229,309,-1,106,0.46875,314
4863.9233,309,-1,136,0.46875,314
4863.9238,309,-1,160,0.46875,314
4863.9243,309,0,175,0.46875,314
4863.9248,309,0,175,0.46875,314
4863.9253,309,-1,169,0.46875,314
4863.9390,310,3,125,0.375,314
4863.9395,310,3,134,0.375,314
4863.9399,310,3,140,0.375,314
4863.9404,310,2,143,0.375,314
4863.9409,310,2,143,0.375,314
4863.9414,310,3,143,0.375,314
4863.9419,310,3,143,0.375,314
4863.9424,311,3,143,-2.0625,314
4863.9429,311,3,134,-2.0625,314
4863.9434,311,3,113,0.28125,314
4863.9438,311,3,86,0.28125,314
4863.9443,311,2,56,0.28125,314
4863.9575,313,-1,65,0.09375,314
4863.9580,313,2,38,0.09375,314
4863.9585,313,2,20,0.09375,314
4863.9595,313,1,17,0.09375,314
4863.9600,313,1,26,0.09375,314
4863.9604,313,1,44,0.09375,314
4863.9609,313,1,59,0.09375,314
4863.9614,313,0,68,0.09375,314
4863.9619,313,0,71,0.09375,314
4863.9624,313,2,71,0.09375,314
4863.9629,313,2,71,0.09375,314
4863.9634,313,1,74,0.09375,314
4863.9766,313,-1,86,0.09375,314
4863.9771,313,1,89,0.09375,314
4863.9775,313,1,89,0.09375,314
4863.9780,313,-1,86,0.09375,314
4863.9785,313,-1,83,0.09375,314
4863.9790,313,0,86,0.09375,314
4863.9795,313,0,89,0.09375,314
4863.9805,313,0,92,0.09375,314
4863.9810,313,0,95,0.09375,314
4863.9814,313,2,92,0.09375,314
4863.9819,313,2,89,0.09375,314
4863.9824,313,-2,86,0.09375,314
4863.9985,313,3,80,0.09375,314
4863.9990,313,4,77,0.09375,314
4863.9995,313,4,77,0.09375,314
4864.0000,313,3,80,0.09375,314
4864.0005,313,3,86,0.09375,314
4864.0015,313,2,92,0.09375,314
4864.0020,313,2,92,0.09375,314
4864.0024,313,0,89,0.09375,314
4864.0029,313,0,86,0.09375,314
4864.0034,313,-1,83,0.09375,314
4864.0039,313,-1,83,0.09375,314
4864.0044,313,1,83,0.09375,314
4864.0176,313,-1,83,0.09375,314
4864.0181,313,-1,83,0.09375,314
4864.0186,313,-1,80,0.09375,314
4864.0190,313,-1,80,0.09375,314
4864.0195,313,-1,77,0.09375,314
4864.0200,313,1,74,0.09375,314
4864.0205,313,1,74,0.09375,314
4864.0210,313,1,71,0.09375,314
4864.0220,313,1,74,0.09375,314
4864.0225,313,1,80,0.09375,314
4864.0229,313,1,86,0.09375,314
4864.0234,313,-1,92,0.09375,314
4864.0376,313,1,83,0.09375,314
4864.0381,313,2,83,0.09375,314
4864.0386,313,2,83,0.09375,314
4864.0391,313,0,83,0.09375,314
4864.0396,313,0,83,0.09375,314
4864.0400,313,2,83,0.09375,314
4864.0405,313,2,83,0.09375,314
4864.0410,313,0,83,0.09375,314
4864.0415,313,0,83,0.09375,314
4864.0420,313,0,83,0.09375,314
4864.0430,313,0,83,0.09375,314
4864.0435,313,1,83,0.09375,314
4864.0566,313,1,77,0.09375,314
4864.0571,313,0,80,0.09375,314
4864.0576,313,0,80,0.09375,314
4864.0581,313,1,83,0.09375,314
4864.0586,313,1,83,0.09375,314
4864.0591,313,0,83,0.09375,314
4864.0596,313,0,83,0.09375,314
4864.0601,313,2,83,0.09375,314
4864.0605,313,2,83,0.09375,314
4864.0610,313,1,86,0.09375,314
4864.0615,313,1,86,0.09375,314
4864.0620,313,1,86,0.09375,314
4864.0762,313,0,77,0.09375,314
4864.0767,313,0,83,0.09375,314
4864.0771,312,0,89,2.53125,314
4864.0776,312,0,80,2.53125,314
4864.0781,312,0,68,0.1875,314
4864.0786,312,0,56,0.1875,314
4864.0791,312,0,50,0.1875,314
4864.0796,312,0,68,0.1875,314
4864.0801,312,1,95,0.1875,314
4864.0806,312,1,116,0.1875,314
4864.0811,312,0,128,0.1875,314
4864.0815,312,0,128,0.1875,314
4864.0957,313,1,89,0.09375,314
4864.0962,313,-1,89,0.09375,314
4864.0967,313,-1,86,0.09375,314
4864.0972,313,1,86,0.09375,314
4864.0977,313,1,83,0.09375,314
4864.0981,313,-1,83,0.09375,314
4864.0986,313,-1,83,0.09375,314
4864.0991,313,-1,83,0.09375,314
4864.0996,313,-1,83,0.09375,314
4864.1001,313,-2,86,0.09375,314
