%% time, position, velocity, current, output, reference
2147.9282,-170,2,-23,0.1875,0
2147.9287,-170,2,-20,0.1875,0
2147.9292,-170,1,-17,0.1875,0
2147.9297,-170,1,-12,0.1875,0
2147.9302,-169,2,-9,0.1875,0
2147.9307,-169,2,-9,0.1875,0
2147.9312,-169,1,-9,0.1875,0
2147.9316,-169,1,-11,0.1875,0
2147.9321,-169,-1,-11,0.1875,0
2147.9326,-169,-1,-11,0.1875,0
2147.9331,-169,2,-11,0.1875,0
2147.9336,-169,2,-11,0.1875,0
2147.9626,-170,2,-6,0.1875,0
2147.9631,-170,2,-9,0.1875,0
2147.9636,-170,2,-14,0.1875,0
2147.9641,-170,1,-17,0.1875,0
2147.9646,-170,1,-20,0.1875,0
2147.9651,-170,3,-26,0.1875,0
2147.9656,-170,3,-26,0.1875,0
2147.9661,-169,1,-23,0.1875,0
2147.9666,-169,1,-20,0.1875,0
2147.9670,-169,-1,-14,0.1875,0
2147.9675,-169,-1,-11,0.1875,0
2147.9680,-169,1,-11,0.1875,0
2147.9961,-170,-2,-12,0.1875,0
2147.9966,-170,-2,-18,0.1875,0
2147.9971,-170,2,-23,0.1875,0
2147.9976,-170,2,-26,0.1875,0
2147.9980,-170,1,-23,0.1875,0
2147.9985,-170,1,-15,0.1875,0
2147.9990,-170,0,-12,0.1875,0
2147.9995,-170,0,-9,0.1875,0
2148.0000,-170,0,-9,0.1875,0
2148.0005,-170,0,-11,0.1875,0
2148.0012,-170,1,-11,0.1875,0
2148.0017,-170,1,-11,0.1875,0
2148.0300,-169,1,-20,0.1875,0
2148.0305,-169,1,-17,0.1875,0
2148.0310,-169,2,-14,0.1875,0
2148.0315,-169,2,-12,0.1875,0
2148.0320,-169,2,-6,0.1875,0
2148.0327,-169,2,-3,0.1875,0
2148.0332,-169,1,0,0.1875,0
2148.0337,-169,1,-3,0.1875,0
2148.0342,-169,-1,-9,0.1875,0
2148.0347,-169,-1,-18,0.1875,0
2148.0352,-169,-1,-23,0.1875,0
2148.0356,-169,-1,-26,0.1875,0
2148.0642,-169,2,116,0.1875,0
2148.0647,-169,2,119,0.1875,0
2148.0652,-169,2,116,0.1875,0
2148.0657,-169,2,113,0.1875,0
2148.0662,-169,0,110,0.1875,0
2148.0667,-169,0,107,0.1875,0
2148.0671,-169,0,107,0.1875,0
2148.0676,-169,0,107,0.1875,0
2148.0681,-169,3,107,0.1875,0
2148.0686,-169,3,110,0.1875,0
2148.0691,-169,0,110,0.1875,0
2148.0696,-169,0,110,0.1875,0
2148.0981,-162,25,813,22.9688,300
2148.0986,-162,25,858,22.9688,300
2148.0991,-160,32,902,22.9688,300
2148.0996,-160,32,941,22.9688,300
2148.1001,-158,41,968,22.9688,300
2148.1006,-158,41,983,22.9688,300
2148.1011,-155,49,986,22.9688,300
2148.1016,-155,49,980,22.9688,300
2148.1021,-151,58,965,22.9688,300
2148.1025,-151,58,941,22.9688,300
2148.1030,-147,70,911,22.9688,300
2148.1035,-147,70,876,22.9688,300
2148.1167,-40,192,748,22.9688,300
2148.1172,-28,203,745,22.9688,300
2148.1177,-28,203,739,22.9688,300
2148.1182,-16,212,730,22.9688,300
2148.1187,-16,212,718,22.9688,300
2148.1191,-3,219,706,22.9688,300
2148.1196,-3,219,697,22.9688,300
2148.1201,11,229,691,22.9688,300
2148.1206,11,229,691,22.9688,300
2148.1211,25,237,688,22.9688,300
2148.1216,25,237,688,22.9688,300
2148.1221,40,249,691,22.9688,300
2148.1360,306,377,676,22.9688,300
2148.1367,306,377,667,22.9688,300
2148.1372,329,387,664,22.9688,300
2148.1377,329,387,667,22.9688,300
2148.1382,353,397,676,22.9688,300
2148.1387,353,397,691,22.9688,300
2148.1392,378,406,703,22.9688,300
2148.1396,378,406,712,22.9688,300
2148.1401,403,414,715,22.9688,300
2148.1406,403,414,709,22.9688,300
2148.1411,428,423,697,22.9688,300
2148.1416,428,423,682,22.9688,300
2148.1555,841,547,-119,-8.57813,300
2148.1560,875,555,-253,-12.5156,300
2148.1565,875,555,-360,-12.5156,300
2148.1570,908,557,-444,-15.4688,300
2148.1577,908,557,-533,-15.4688,300
2148.1582,941,558,-629,-18.2813,300
2148.1587,941,558,-763,-18.2813,300
2148.1592,975,562,-939,-21.6094,300
2148.1597,975,562,-1061,-21.6094,300
2148.1602,1009,560,-1124,-22.9688,300
2148.1606,1009,560,-1106,-22.9688,300
2148.1611,1042,559,-1019,-22.9688,300
2148.1760,1484,415,-1001,-22.9688,300
2148.1765,1484,415,-1031,-22.9688,300
2148.1770,1508,403,-1034,-22.9688,300
2148.1775,1508,403,-1052,-22.9688,300
2148.1782,1532,393,-1058,-22.9688,300
2148.1787,1532,393,-1055,-22.9688,300
2148.1792,1555,381,-1073,-22.9688,300
2148.1797,1555,381,-1076,-22.9688,300
2148.1802,1577,369,-1073,-22.9688,300
2148.1807,1577,369,-1067,-22.9688,300
2148.1812,1598,358,-1037,-22.9688,300
2148.1816,1598,358,-999,-22.9688,300
2148.2002,1896,197,121,9.46875,300
2148.2007,1896,197,190,9.46875,300
2148.2012,1907,196,268,10.6875,300
2148.2017,1907,196,363,10.6875,300
2148.2021,1919,192,482,12.4688,300
2148.2026,1919,192,557,12.4688,300
2148.2031,1930,190,592,13.9219,300
2148.2036,1930,190,634,13.9219,300
2148.2041,1942,191,676,14.8594,300
2148.2046,1942,191,783,14.8594,300
2148.2051,1954,193,950,15.6094,300
2148.2056,1954,193,1072,15.6094,300
2148.2231,2212,295,718,9.32813,300
2148.2236,2212,295,738,9.32813,300
2148.2241,2230,299,786,8.67188,300
2148.2246,2230,299,804,8.67188,300
2148.2251,2249,305,789,7.59375,300
2148.2256,2249,305,735,7.59375,300
2148.2261,2268,314,643,5.90625,300
2148.2266,2268,314,557,5.90625,300
2148.2271,2287,318,479,5.0625,300
2148.2275,2287,318,437,5.0625,300
2148.2280,2306,322,435,4.17188,300
2148.2285,2306,322,429,4.17188,300
2148.2422,2593,345,-533,-5.53125,300
2148.2427,2593,345,-572,-5.53125,300
2148.2432,2613,342,-605,-5.4375,300
2148.2437,2613,342,-626,-5.4375,300
2148.2441,2633,340,-632,-5.53125,300
2148.2446,2633,340,-632,-5.53125,300
2148.2451,2654,339,-632,-5.76563,300
2148.2456,2654,339,-638,-5.76563,300
2148.2461,2674,337,-643,-5.76563,300
2148.2466,2674,337,-643,-5.76563,300
2148.2471,2694,334,-640,-5.625,300
2148.2476,2694,334,-637,-5.625,300
2148.2605,2935,289,-241,0.75,300
2148.2610,2952,285,-155,1.54688,300
2148.2617,2952,285,-92,1.54688,300
2148.2622,2969,284,-39,1.92188,300
2148.2627,2969,284,-12,1.92188,300
2148.2632,2986,282,-3,2.4375,300
2148.2637,2986,282,-3,2.4375,300
2148.2642,3003,276,-15,3.70313,300
2148.2646,3003,276,-21,3.70313,300
2148.2651,3020,278,-23,3.5625,300
2148.2656,3020,278,-9,3.5625,300
2148.2661,3036,276,12,4.17188,300
2148.2795,3252,284,363,5.90625,300
2148.2800,3269,286,390,5.71875,300
2148.2805,3269,286,414,5.71875,300
2148.2810,3287,289,432,5.29688,300
2148.2815,3287,289,447,5.29688,300
2148.2820,3304,292,458,4.875,300
2148.2827,3304,292,467,4.875,300
2148.2832,3322,290,473,5.34375,300
2148.2837,3322,290,476,5.34375,300
2148.2842,3339,296,476,4.35938,300
2148.2847,3339,296,473,4.35938,300
2148.2852,3357,296,464,4.40625,300
2148.2991,3615,313,62,0.5625,300
2148.2996,3615,313,56,0.5625,300
2148.3000,3634,314,53,0.234375,300
2148.3005,3634,314,47,0.234375,300
2148.3010,3652,312,35,0.46875,300
2148.3015,3652,312,26,0.46875,300
2148.3020,3671,311,14,0.515625,300
2148.3025,3671,311,5,0.515625,300
2148.3032,3690,312,5,0.234375,300
2148.3037,3690,312,2,0.234375,300
2148.3042,3708,311,0,0.28125,300
2148.3047,3708,311,-6,0.28125,300
2148.3181,3966,301,38,1.125,300
2148.3186,3966,301,35,1.125,300
2148.3191,3984,301,35,1.125,300
2148.3196,3984,301,35,1.125,300
2148.3201,4002,300,32,1.26563,300
2148.3206,4002,300,29,1.26563,300
2148.3210,4020,300,26,1.26563,300
2148.3215,4020,300,26,1.26563,300
2148.3220,4038,300,32,1.26563,300
2148.3225,4038,300,38,1.26563,300
2148.3230,4056,300,44,1.26563,300
2148.3235,4056,300,47,1.26563,300
2148.3396,4341,298,29,2.01563,300
2148.3401,4359,299,38,1.82813,300
2148.3406,4359,299,44,1.82813,300
2148.3411,4377,298,50,2.01563,300
2148.3416,4377,298,47,2.01563,300
2148.3420,4395,298,44,2.0625,300
2148.3425,4395,298,38,2.0625,300
2148.3430,4413,296,29,2.4375,300
2148.3435,4413,296,23,2.4375,300
2148.3440,4431,300,8,1.73438,300
2148.3445,4431,300,5,1.73438,300
2148.3452,4449,301,8,1.54688,300
2148.3625,4756,299,65,1.82813,300
2148.3630,4774,301,56,1.5,300
2148.3635,4774,301,53,1.5,300
2148.3640,4792,298,56,2.01563,300
2148.3645,4792,298,59,2.01563,300
2148.3650,4810,300,62,1.6875,300
2148.3657,4810,300,59,1.6875,300
2148.3662,4828,298,53,2.01563,300
2148.3667,4828,298,53,2.01563,300
2148.3672,4846,296,50,2.39063,300
2148.3677,4846,296,44,2.39063,300
2148.3682,4863,296,32,2.4375,300
2148.3855,5168,300,53,2.01563,300
2148.3860,5186,297,68,2.57813,300
2148.3867,5186,297,68,2.57813,300
2148.3872,5204,300,62,2.0625,300
2148.3877,5204,300,44,2.0625,300
2148.3882,5222,301,20,1.875,300
2148.3887,5222,301,14,1.875,300
2148.3892,5240,298,17,2.39063,300
2148.3896,5240,298,20,2.39063,300
2148.3901,5258,299,23,2.25,300
2148.3906,5258,299,17,2.25,300
2148.3911,5276,296,5,2.8125,300
2148.4092,5600,300,89,2.01563,300
2148.4097,5600,300,86,2.01563,300
2148.4102,5619,300,83,2.01563,300
2148.4106,5619,300,74,2.01563,300
2148.4111,5637,302,62,1.64063,300
2148.4116,5637,302,59,1.64063,300
2148.4121,5655,301,59,1.78125,300
2148.4126,5655,301,62,1.78125,300
2148.4131,5673,300,71,1.96875,300
2148.4136,5673,300,74,1.96875,300
2148.4141,5691,301,68,1.78125,300
2148.4146,5691,301,62,1.78125,300
2148.4312,6016,301,68,1.45313,300
2148.4316,6016,301,74,1.45313,300
2148.4321,6034,301,80,1.45313,300
2148.4326,6034,301,83,1.45313,300
2148.4331,6052,300,83,1.59375,300
2148.4336,6052,300,83,1.59375,300
2148.4341,6070,302,83,1.26563,300
2148.4346,6070,302,83,1.26563,300
2148.4351,6088,301,83,1.40625,300
2148.4355,6088,301,80,1.40625,300
2148.4360,6106,302,77,1.21875,300
2148.4365,6106,302,77,1.21875,300
2148.4526,6395,301,50,1.21875,300
2148.4531,6413,300,53,1.40625,300
2148.4536,6413,300,56,1.40625,300
2148.4541,6431,301,62,1.21875,300
2148.4546,6431,301,65,1.21875,300
2148.4551,6449,299,68,1.59375,300
2148.4556,6449,299,71,1.59375,300
2148.4561,6467,299,68,1.59375,300
2148.4565,6467,299,65,1.59375,300
2148.4570,6485,298,62,1.78125,300
2148.4575,6485,298,59,1.78125,300
2148.4580,6503,299,59,1.64063,300
2148.4722,6737,295,-26,2.71875,300
2148.4727,6737,295,-29,2.71875,300
2148.4731,6755,298,-35,2.25,300
2148.4736,6755,298,-38,2.25,300
2148.4741,6771,296,-38,2.625,300
2148.4746,6771,296,-44,2.625,300
2148.4751,6789,296,-44,2.67188,300
2148.4756,6789,296,-44,2.67188,300
2148.4761,6806,297,-44,2.53125,300
2148.4766,6806,297,-35,2.53125,300
2148.4771,6824,298,-32,2.39063,300
2148.4775,6824,298,-35,2.39063,300
2148.4907,7058,301,38,1.96875,300
2148.4912,7076,301,29,1.96875,300
2148.4917,7076,301,26,1.96875,300
2148.4922,7094,302,26,1.78125,300
2148.4927,7094,302,32,1.78125,300
2148.4932,7112,302,41,1.78125,300
2148.4937,7112,302,50,1.78125,300
2148.4941,7130,301,53,1.92188,300
2148.4946,7130,301,53,1.92188,300
2148.4951,7148,302,53,1.73438,300
2148.4956,7148,302,50,1.73438,300
2148.4961,7166,299,47,2.25,300
2148.5100,7438,300,77,1.82813,300
2148.5105,7438,300,74,1.82813,300
2148.5110,7456,299,71,2.01563,300
2148.5117,7456,299,68,2.01563,300
2148.5122,7474,300,62,1.875,300
2148.5127,7474,300,56,1.875,300
2148.5132,7492,300,50,1.875,300
2148.5137,7492,300,50,1.875,300
2148.5142,7510,300,56,1.875,300
2148.5146,7510,300,62,1.875,300
2148.5151,7528,298,65,2.20313,300
2148.5156,7528,298,56,2.20313,300
2148.5291,7780,302,68,1.45313,300
2148.5295,7780,302,71,1.45313,300
2148.5300,7799,302,71,1.45313,300
2148.5305,7799,302,74,1.45313,300
2148.5310,7817,302,77,1.40625,300
2148.5315,7817,302,77,1.40625,300
2148.5320,7835,302,77,1.40625,300
2148.5327,7835,302,74,1.40625,300
2148.5332,7853,302,71,1.40625,300
2148.5337,7853,302,74,1.40625,300
2148.5342,7871,303,80,1.17188,300
2148.5347,7871,303,86,1.17188,300
2148.5520,8198,301,41,1.17188,300
2148.5525,8198,301,47,1.17188,300
2148.5532,8216,303,56,0.796875,300
2148.5537,8216,303,62,0.796875,300
2148.5542,8234,300,68,1.3125,300
2148.5547,8234,300,71,1.3125,300
2148.5552,8252,300,68,1.3125,300
2148.5557,8252,300,62,1.3125,300
2148.5562,8270,297,56,1.875,300
2148.5566,8270,297,47,1.875,300
2148.5571,8287,296,41,2.0625,300
2148.5576,8287,296,35,2.0625,300
2148.5752,8590,297,-32,2.53125,300
2148.5757,8590,297,-32,2.53125,300
2148.5762,8608,297,-35,2.57813,300
2148.5767,8608,297,-44,2.57813,300
2148.5771,8625,299,-50,2.25,300
2148.5776,8625,299,-53,2.25,300
2148.5781,8643,298,-47,2.4375,300
2148.5786,8643,298,-38,2.4375,300
2148.5791,8661,297,-26,2.625,300
2148.5796,8661,297,-20,2.625,300
2148.5801,8679,297,-17,2.67188,300
2148.5806,8679,297,-14,2.67188,300
2148.5940,8930,300,-30,2.0625,300
2148.5945,8930,300,-32,2.0625,300
2148.5952,8948,299,-21,2.25,300
2148.5957,8948,299,-12,2.25,300
2148.5962,8966,300,-3,2.0625,300
2148.5967,8966,300,-3,2.0625,300
2148.5972,8984,300,-9,2.0625,300
2148.5977,8984,300,-9,2.0625,300
2148.5981,9002,299,-3,2.25,300
2148.5986,9002,299,0,2.25,300
2148.5991,9020,300,-3,2.0625,300
2148.5996,9020,300,-9,2.0625,300
2148.6130,9290,300,20,2.0625,300
2148.6135,9290,300,17,2.0625,300
2148.6140,9308,301,20,1.875,300
2148.6145,9308,301,29,1.875,300
2148.6150,9326,298,41,2.39063,300
2148.6157,9326,298,44,2.39063,300
2148.6162,9344,300,41,2.0625,300
2148.6167,9344,300,32,2.0625,300
2148.6172,9362,300,17,2.0625,300
2148.6177,9362,300,14,2.0625,300
2148.6182,9380,300,17,2.0625,300
2148.6187,9380,300,23,2.0625,300
2148.6326,9634,302,86,1.45313,300
2148.6331,9652,304,92,1.07813,300
2148.6335,9652,304,95,1.07813,300
2148.6340,9670,305,95,0.84375,300
2148.6345,9670,305,95,0.84375,300
2148.6350,9689,305,95,0.796875,300
2148.6355,9689,305,92,0.796875,300
2148.6360,9707,304,86,0.9375,300
2148.6367,9707,304,77,0.9375,300
2148.6372,9725,305,65,0.703125,300
2148.6377,9725,305,59,0.703125,300
2148.6382,9744,304,56,0.84375,300
2148.6541,10033,298,44,1.64063,300
2148.6545,10033,298,41,1.64063,300
2148.6550,10051,300,38,1.3125,300
2148.6555,10051,300,38,1.3125,300
2148.6560,10069,302,44,0.9375,300
2148.6565,10069,302,56,0.9375,300
2148.6570,10087,298,71,1.64063,300
2148.6577,10087,298,80,1.64063,300
2148.6582,10105,301,83,1.125,300
2148.6587,10105,301,80,1.125,300
2148.6592,10123,298,77,1.64063,300
2148.6597,10123,298,77,1.64063,300
2148.6775,10426,298,-56,2.34375,300
2148.6782,10444,297,-53,2.53125,300
2148.6787,10444,297,-44,2.53125,300
2148.6792,10462,298,-38,2.39063,300
2148.6797,10462,298,-35,2.39063,300
2148.6802,10480,298,-35,2.4375,300
2148.6807,10480,298,-32,2.4375,300
2148.6812,10497,297,-29,2.625,300
2148.6816,10497,297,-26,2.625,300
2148.6821,10515,299,-20,2.29688,300
2148.6826,10515,299,-17,2.29688,300
2148.6831,10533,298,-9,2.48438,300
2148.7012,10857,302,17,1.78125,300
2148.7017,10857,302,38,1.78125,300
2148.7021,10875,302,50,1.78125,300
2148.7026,10875,302,56,1.78125,300
2148.7031,10893,301,56,1.92188,300
2148.7036,10893,301,53,1.92188,300
2148.7041,10912,302,53,1.73438,300
2148.7046,10912,302,50,1.73438,300
2148.7051,10930,302,50,1.73438,300
2148.7056,10930,302,56,1.73438,300
2148.7061,10948,303,62,1.5,300
2148.7065,10948,303,71,1.5,300
2148.7241,11274,301,62,1.59375,300
2148.7246,11274,301,62,1.59375,300
2148.7251,11292,301,56,1.59375,300
2148.7256,11292,301,56,1.59375,300
2148.7261,11310,302,56,1.40625,300
2148.7266,11310,302,56,1.40625,300
2148.7271,11328,302,62,1.35938,300
2148.7275,11328,302,68,1.35938,300
2148.7280,11346,302,74,1.35938,300
2148.7285,11346,302,80,1.35938,300
2148.7290,11364,302,83,1.3125,300
2148.7295,11364,302,83,1.3125,300
2148.7471,11690,301,59,1.26563,300
2148.7476,11690,301,53,1.26563,300
2148.7480,11707,299,50,1.64063,300
2148.7485,11707,299,47,1.64063,300
2148.7490,11726,303,47,0.890625,300
2148.7495,11726,303,50,0.890625,300
2148.7500,11744,299,53,1.59375,300
2148.7505,11744,299,56,1.59375,300
2148.7512,11762,301,62,1.26563,300
2148.7517,11762,301,62,1.26563,300
2148.7522,11780,302,62,1.07813,300
2148.7527,11780,302,62,1.07813,300
2148.7695,12084,297,-29,2.29688,300
2148.7700,12102,296,-32,2.48438,300
2148.7705,12102,296,-32,2.48438,300
2148.7710,12120,298,-35,2.15625,300
2148.7715,12120,298,-38,2.15625,300
2148.7722,12137,296,-35,2.57813,300
2148.7727,12137,296,-32,2.57813,300
2148.7732,12155,296,-26,2.57813,300
2148.7737,12155,296,-29,2.57813,300
2148.7742,12173,299,-41,2.10938,300
2148.7747,12173,299,-47,2.10938,300
2148.7751,12191,297,-50,2.48438,300
2148.7896,12441,299,-23,2.4375,300
2148.7900,12460,301,-26,2.0625,300
2148.7905,12460,301,-23,2.0625,300
2148.7910,12478,300,-15,2.25,300
2148.7915,12478,300,-6,2.25,300
2148.7920,12496,300,0,2.25,300
2148.7925,12496,300,0,2.25,300
2148.7932,12514,300,-9,2.25,300
2148.7937,12514,300,-24,2.25,300
2148.7942,12532,300,-32,2.25,300
2148.7947,12532,300,-38,2.25,300
2148.7952,12550,301,-38,2.0625,300
2148.8091,12803,301,74,1.875,300
2148.8096,12803,301,74,1.875,300
2148.8101,12821,302,71,1.6875,300
2148.8105,12821,302,74,1.6875,300
2148.8110,12840,303,77,1.45313,300
2148.8115,12840,303,83,1.45313,300
2148.8120,12858,300,89,1.96875,300
2148.8125,12858,300,89,1.96875,300
2148.8130,12876,302,86,1.64063,300
2148.8137,12876,302,80,1.64063,300
2148.8142,12894,302,71,1.59375,300
2148.8147,12894,302,68,1.59375,300
2148.8281,13147,301,47,1.59375,300
2148.8286,13147,301,50,1.59375,300
2148.8291,13165,302,53,1.40625,300
2148.8296,13165,302,56,1.40625,300
2148.8301,13183,302,62,1.40625,300
2148.8306,13183,302,65,1.40625,300
2148.8311,13201,302,68,1.35938,300
2148.8315,13201,302,68,1.35938,300
