%% time, position, velocity, current, output, reference
10264.2930,69,1,-18,-0.1875,143
10264.2939,69,1,-29,-0.1875,0
10264.2949,69,1,-26,-0.1875,0
10264.2959,69,-1,-32,-0.1875,0
10264.2969,70,2,-35,-0.1875,0
10264.2979,70,2,-38,-0.1875,0
10264.2988,70,2,-41,-0.1875,0
10264.2998,70,0,-44,-0.1875,0
10264.3008,70,0,-44,-0.1875,0
10264.3018,69,-1,-38,-0.1875,0
10264.3027,69,-1,-35,-0.1875,0
10264.3037,69,1,-47,-0.1875,0
10264.3047,69,1,-56,-0.1875,0
10264.3057,69,1,-59,-0.1875,0
10264.3066,69,1,-53,-0.1875,0
10264.3076,69,1,-71,-0.1875,0
10264.3086,69,0,-110,-0.1875,0
10264.3096,69,2,-140,-0.1875,0
10264.3105,69,2,-158,-0.1875,0
10264.3115,70,1,-69,0.84375,143
10264.3125,70,1,53,0.84375,143
10264.3135,70,-1,426,0.84375,143
10264.3145,70,2,405,0.84375,143
10264.3154,70,0,285,0.84375,143
10264.3164,70,0,241,0.84375,143
10264.3174,70,3,172,0.84375,143
10264.3184,70,3,160,0.84375,143
10264.3193,71,6,134,-0.375,143
10264.3203,71,8,86,0.84375,143
10264.3213,72,10,23,-0.421875,143
10264.3223,72,10,8,-0.421875,143
10264.3232,74,13,-54,-0.421875,143
10264.3242,74,13,-93,-0.421875,143
10264.3252,75,12,-134,-0.421875,143
10264.3262,76,13,-62,-0.46875,143
10264.3271,77,12,-80,-0.46875,143
10264.3281,77,12,-122,-0.46875,143
10264.3291,78,11,-140,-0.46875,143
10264.3301,78,11,-92,-0.46875,143
10264.3311,79,10,-77,0.75,143
10264.3320,80,12,-125,-0.515625,143
10264.3330,81,12,-71,-0.515625,143
10264.3350,81,12,-59,-0.515625,143
10264.3359,82,10,-86,-0.515625,143
10264.3369,82,10,-65,-0.515625,143
10264.3379,83,9,-41,-0.515625,143
10264.3389,83,9,-47,0.703125,143
10264.3398,84,8,-29,-0.5625,143
10264.3408,84,8,-17,-0.5625,143
10264.3418,85,8,-29,-0.5625,143
10264.3428,85,8,-38,-0.5625,143
10264.3438,86,9,-23,-0.5625,143
10264.3447,86,8,-15,0.65625,143
10264.3457,87,8,-15,-0.5625,143
10264.3467,87,8,-20,-0.5625,143
10264.3477,88,8,-29,-0.609375,143
10264.3486,88,8,-35,-0.609375,143
10264.3496,89,6,-29,-0.609375,143
10264.3506,89,6,-17,0.65625,143
10264.3516,89,6,-17,0.65625,143
10264.3525,89,6,-6,0.65625,143
10264.3535,90,7,62,0.609375,143
10264.3545,90,7,56,0.609375,143
10264.3555,91,6,-15,0.609375,143
10264.3564,91,6,-41,0.609375,143
10264.3574,92,5,15,-0.65625,143
10264.3584,92,5,41,-0.65625,143
10264.3594,92,7,-15,0.609375,143
10264.3604,92,7,-21,0.609375,143
10264.3613,93,4,50,0.609375,143
10264.3623,93,5,6,0.609375,143
10264.3633,94,5,45,-0.65625,143
10264.3643,94,5,62,-0.65625,143
10264.3652,94,4,0,0.5625,143
10264.3662,94,4,-3,0.5625,143
10264.3672,95,4,110,-0.703125,143
10264.3682,95,3,95,0.5625,143
10264.3691,95,3,29,0.5625,143
10264.3701,95,3,17,0.5625,143
10264.3711,95,4,116,0.5625,143
10264.3721,95,4,140,0.5625,143
10264.3730,96,6,77,0.5625,143
10264.3740,96,3,-9,0.5625,143
10264.3750,96,4,18,0.5625,143
10264.3770,96,4,59,0.5625,143
10264.3779,97,6,89,0.515625,143
10264.3789,97,6,56,0.515625,143
10264.3799,97,4,41,0.515625,143
10264.3809,98,4,113,-0.703125,143
10264.3818,98,3,95,0.515625,143
10264.3828,98,3,65,0.515625,143
10264.3838,98,4,47,0.515625,143
10264.3848,98,4,77,0.515625,143
10264.3857,99,3,137,-0.75,143
10264.3867,99,3,122,-0.75,143
10264.3877,99,4,15,0.515625,143
10264.3887,99,4,9,0.515625,143
10264.3896,100,5,110,-0.75,143
10264.3906,100,5,122,-0.75,143
10264.3916,100,4,26,0.515625,143
10264.3926,100,3,35,0.515625,143
10264.3936,101,4,104,-0.75,143
10264.3945,101,4,113,-0.75,143
10264.3955,101,5,3,0.46875,143
10264.3965,101,5,-6,0.46875,143
10264.3975,102,4,107,-0.75,143
10264.3984,102,6,101,0.46875,143
10264.3994,102,3,29,0.46875,143
10264.4004,102,3,11,0.46875,143
10264.4014,103,4,104,-0.796875,143
10264.4023,103,4,116,-0.796875,143
10264.4033,103,2,35,0.46875,143
10264.4043,103,3,56,0.46875,143
10264.4053,103,3,116,0.46875,143
10264.4063,103,3,134,0.46875,143
10264.4072,103,6,149,0.46875,143
10264.4082,103,6,152,0.46875,143
10264.4092,104,4,101,0.46875,143
10264.4102,104,3,23,0.46875,143
10264.4111,104,3,41,0.46875,143
10264.4121,104,3,68,0.46875,143
10264.4131,104,3,134,0.46875,143
10264.4141,104,3,140,0.46875,143
10264.4150,105,0,104,0.421875,143
10264.4160,105,2,32,0.421875,143
10264.4180,105,3,44,0.421875,143
10264.4189,105,3,74,0.421875,143
10264.4199,105,3,143,0.421875,143
10264.4209,105,3,149,0.421875,143
