%% time, position, velocity, current, output, reference
8389.9971,83,1,-35,-9.42188,87
8389.9980,83,0,-41,-9.42188,87
8389.9990,83,1,-44,-9.42188,0
8390.0000,83,1,-41,-9.42188,0
8390.0010,83,0,-41,-9.42188,0
8390.0020,83,0,-44,-9.42188,0
8390.0029,83,1,-44,-9.42188,0
8390.0049,83,-1,-35,-9.42188,0
8390.0059,83,-2,-32,-9.42188,0
8390.0068,83,-2,-38,-9.42188,0
8390.0078,83,1,-35,-9.42188,0
8390.0088,83,1,-29,-9.42188,0
8390.0098,83,5,-35,-9.42188,0
8390.0107,83,4,-41,-9.42188,0
8390.0117,83,5,-44,-9.42188,0
8390.0127,83,5,-44,-9.42188,0
8390.0137,83,6,-38,-9.42188,0
8390.0146,83,6,-32,-9.42188,0
8390.0156,83,2,-29,-9.42188,0
8390.0166,83,-2,-35,-9.42188,0
8390.0176,83,-2,-59,-9.42188,0
8390.0186,83,-2,-116,-9.42188,0
8390.0195,83,-2,-480,-9.42188,0
8390.0205,83,-2,-593,-9.42188,0
8390.0215,83,-2,-781,-22.9688,-130
8390.0225,83,-5,-781,-22.9688,-130
8390.0234,82,-6,-686,-8.4375,-129
8390.0244,82,-6,-689,-8.4375,-129
8390.0254,81,-8,-805,-8.15625,-128
8390.0264,81,-8,-802,-8.15625,-128
8390.0273,79,-19,-814,-7.73438,-127
8390.0283,77,-26,-852,2.34375,-126
8390.0293,75,-32,-760,-7.07813,-126
8390.0303,75,-32,-656,-7.07813,-126
8390.0313,71,-42,-358,-6.42188,-125
8390.0322,71,-42,-313,-6.42188,-125
8390.0332,64,-53,-137,14.0625,-124
8390.0342,61,-54,283,14.625,-123
8390.0352,57,-59,804,22.9688,-122
8390.0361,57,-59,956,22.9688,-122
8390.0371,50,-59,893,22.9688,-121
8390.0381,50,-59,849,22.9688,-121
8390.0391,43,-53,768,22.9688,-120
8390.0400,40,-53,709,8.0625,-120
8390.0410,37,-46,703,18.3281,-119
8390.0420,37,-46,741,18.3281,-119
8390.0430,33,-35,1004,-0.46875,-118
8390.0439,33,-35,1022,-0.46875,-118
8390.0449,30,-19,688,-9.70313,-117
8390.0469,29,-16,455,0.28125,-116
8390.0479,28,-10,193,-9.28125,-116
8390.0488,28,-10,48,-9.28125,-116
8390.0498,28,0,-352,-9.04688,-114
8390.0508,28,0,-477,-9.04688,-114
8390.0518,28,7,-975,-8.90625,-113
8390.0527,29,3,-1356,-22.9688,-113
8390.0537,29,2,-1225,-8.90625,-112
8390.0547,29,2,-1064,-8.90625,-112
8390.0557,29,-2,-1031,-8.76563,-111
8390.0566,29,-2,-1150,-8.76563,-111
8390.0576,27,-10,-1073,-8.34375,-110
8390.0586,27,-13,-653,-8.25,-109
8390.0596,25,-21,-423,1.73438,-109
8390.0605,25,-21,-378,1.73438,-109
8390.0615,22,-28,-289,2.25,-108
8390.0625,22,-28,-223,2.25,-108
8390.0635,18,-35,-48,12.7969,-106
8390.0645,16,-37,127,3.32813,-106
8390.0654,13,-40,369,22.9688,-105
8390.0664,13,-40,440,22.9688,-105
8390.0674,8,-39,518,22.9688,-104
8390.0684,8,-39,557,22.9688,-104
8390.0693,4,-37,661,15.0469,-103
8390.0703,2,-32,849,15.4688,-102
8390.0713,1,-28,1049,-3.84375,-102
8390.0723,1,-28,1075,-3.84375,-102
8390.0732,-2,-17,694,-3.32813,-101
8390.0742,-2,-17,533,-3.32813,-101
8390.0752,-3,-6,339,-3.04688,-100
8390.0762,-3,-2,214,-2.95313,-99
8390.0771,-3,2,59,-2.8125,-98
8390.0781,-3,2,9,-2.8125,-98
8390.0791,-2,7,38,-2.8125,-97
8390.0801,-2,7,71,-2.8125,-97
8390.0811,-1,9,-164,-12.5625,-96
8390.0820,-1,7,-444,-12.5625,-96
8390.0830,0,6,-557,-12.5625,-95
8390.0840,0,6,-596,-12.5625,-95
8390.0850,0,2,-620,-12.4219,-94
8390.0859,0,2,-578,-12.4219,-94
8390.0869,0,-5,-393,-12.2813,-93
8390.0889,-1,-9,-328,7.45313,-92
8390.0898,-2,-12,-289,-2.15625,-92
8390.0908,-2,-12,-289,-2.15625,-92
8390.0918,-4,-20,-152,8.10938,-90
8390.0928,-4,-20,-69,8.10938,-90
8390.0938,-7,-26,160,18.375,-89
8390.0947,-9,-28,306,8.90625,-89
8390.0957,-11,-29,530,19.0313,-88
8390.0967,-11,-29,718,19.0313,-88
8390.0977,-14,-30,1209,19.5469,-87
8390.0986,-14,-30,1150,19.5469,-87
8390.0996,-17,-21,840,0.609375,-86
8390.1006,-18,-17,1105,10.5938,-85
8390.1016,-19,-14,1072,0.984375,-85
8390.1025,-19,-14,935,0.984375,-85
8390.1035,-20,-6,589,-8.4375,-84
8390.1045,-20,-6,506,-8.4375,-84
8390.1055,-20,5,214,1.54688,-82
8390.1064,-20,6,106,-8.15625,-82
8390.1074,-19,12,74,-8.15625,-81
8390.1084,-19,12,44,-8.15625,-81
8390.1094,-17,15,-241,-8.29688,-80
8390.1104,-17,15,-358,-8.29688,-80
8390.1113,-15,16,-626,-8.4375,-79
8390.1123,-15,16,-691,-8.4375,-79
8390.1133,-13,16,-763,-18.3281,-78
8390.1143,-13,16,-733,-18.3281,-78
8390.1152,-12,6,-763,-8.57813,-77
8390.1162,-12,6,-802,-8.57813,-77
8390.1172,-12,0,-671,-8.4375,-76
8390.1182,-12,-3,-462,1.40625,-75
8390.1191,-13,-8,-304,11.3906,-74
8390.1201,-13,-8,-250,11.3906,-74
8390.1211,-15,-19,12,11.8125,-73
8390.1221,-15,-19,113,11.8125,-73
8390.1230,-17,-22,250,12.1875,-72
8390.1240,-19,-26,271,12.4688,-72
8390.1250,-20,-25,291,12.75,-71
8390.1260,-20,-25,345,12.75,-71
8390.1270,-23,-22,586,3.51563,-70
8390.1279,-23,-22,628,3.51563,-70
8390.1299,-26,-15,622,4.03125,-69
8390.1309,-26,-13,622,4.17188,-68
8390.1318,-27,-8,658,4.3125,-68
8390.1328,-27,-8,646,4.3125,-68
8390.1338,-27,3,488,4.59375,-66
8390.1348,-27,3,449,4.59375,-66
8390.1357,-25,14,241,-5.25,-65
8390.1367,-24,16,-185,-15.1406,-65
8390.1377,-23,21,-584,-5.39063,-64
8390.1387,-23,21,-718,-5.39063,-64
8390.1396,-20,25,-888,-15.4219,-63
8390.1406,-20,25,-921,-15.4219,-63
8390.1416,-17,24,-1022,-22.9688,-62
8390.1426,-16,21,-927,-5.90625,-61
8390.1436,-15,17,-793,-15.7969,-61
8390.1445,-15,17,-781,-15.7969,-61
8390.1455,-14,9,-778,-6.04688,-60
8390.1465,-14,9,-760,-6.04688,-60
8390.1475,-13,1,-674,3.79688,-58
8390.1484,-13,1,-614,3.79688,-58
8390.1494,-14,-8,-322,4.03125,-57
8390.1504,-14,-8,-200,4.03125,-57
8390.1514,-16,-19,116,14.2031,-56
8390.1523,-16,-19,217,14.2031,-56
8390.1533,-19,-23,712,14.7188,-55
8390.1543,-21,-25,1033,22.9688,-54
8390.1553,-22,-25,1057,5.48438,-54
8390.1563,-22,-25,1004,5.48438,-54
8390.1572,-25,-20,846,6.04688,-53
8390.1582,-25,-20,822,6.04688,-53
8390.1592,-27,-14,798,6.42188,-52
8390.1602,-27,-6,756,6.5625,-51
8390.1611,-27,-1,682,6.70313,-50
8390.1621,-27,-1,631,6.70313,-50
8390.1631,-27,10,452,6.84375,-49
8390.1641,-27,10,387,6.84375,-49
8390.1650,-25,19,125,-3,-48
8390.1660,-23,23,-57,-22.7813,-48
8390.1670,-21,33,-182,-13.1719,-47
8390.1680,-21,33,-274,-13.1719,-47
8390.1689,-17,32,-703,-22.9688,-46
8390.1699,-17,32,-804,-22.9688,-46
8390.1719,-13,33,-897,-22.9688,-45
8390.1729,-13,33,-939,-22.9688,-45
8390.1738,-10,25,-1067,-14.2031,-44
8390.1748,-10,25,-1148,-14.2031,-44
8390.1758,-8,12,-1350,-4.45313,-42
8390.1768,-8,12,-1243,-4.45313,-42
8390.1777,-8,-1,-683,5.34375,-41
8390.1787,-8,-6,-426,-4.35938,-41
8390.1797,-9,-13,-215,15.375,-40
8390.1807,-9,-13,-134,15.375,-40
8390.1816,-12,-22,142,22.9688,-39
8390.1826,-12,-22,282,22.9688,-39
8390.1836,-15,-26,527,16.4531,-38
8390.1846,-17,-27,643,22.9688,-37
8390.1855,-18,-25,718,7.21875,-37
8390.1865,-18,-25,733,7.21875,-37
8390.1875,-21,-22,739,7.73438,-36
8390.1885,-21,-22,724,7.73438,-36
8390.1895,-23,-12,756,18.0469,-34
8390.1904,-23,-5,908,-1.40625,-34
8390.1914,-23,0,929,8.39063,-33
8390.1924,-23,0,851,8.39063,-33
8390.1934,-22,13,458,8.39063,-32
8390.1943,-22,13,354,8.39063,-32
8390.1953,-19,27,288,-1.54688,-31
8390.1963,-17,32,321,-11.4375,-30
8390.1973,-15,34,-57,-21.4688,-30
8390.1982,-15,34,-259,-21.4688,-30
8390.1992,-10,39,-524,-21.9844,-29
8390.2002,-10,39,-519,-21.9844,-29
8390.2012,-6,36,-480,-22.3594,-28
8390.2021,-6,36,-465,-22.3594,-28
8390.2031,-2,28,-307,-12.8906,-26
8390.2041,-2,28,-361,-12.8906,-26
8390.2051,0,18,-823,-3.28125,-25
8390.2061,0,18,-870,-3.28125,-25
8390.2070,1,3,-620,-3.28125,-24
8390.2080,0,-3,-397,6.5625,-24
8390.2090,0,-8,-233,6.70313,-23
8390.2100,0,-8,-170,6.70313,-23
8390.2109,-2,-20,53,7.07813,-22
8390.2119,-2,-20,124,7.07813,-22
8390.2139,-5,-26,348,7.64063,-21
8390.2148,-7,-28,506,22.9688,-20
8390.2158,-9,-27,598,18.0469,-20
8390.2168,-9,-27,649,18.0469,-20
8390.2178,-12,-24,992,22.9688,-18
8390.2188,-12,-24,1076,22.9688,-18
8390.2197,-14,-13,977,19.0781,-17
8390.2207,-14,-6,1153,-0.375,-17
8390.2217,-14,-2,1338,9.46875,-16
8390.2227,-14,-2,1272,9.46875,-16
8390.2236,-13,12,643,-0.234375,-15
8390.2246,-13,12,479,-0.234375,-15
8390.2256,-10,26,71,-20.0156,-14
8390.2266,-9,31,-325,-0.515625,-13
8390.2275,-7,35,-805,-20.25,-13
8390.2285,-7,35,-957,-20.25,-13
8390.2295,-2,42,-969,-20.8125,-12
8390.2305,-2,42,-885,-20.8125,-12
8390.2314,3,42,-569,-21.1875,-10
8390.2324,5,39,-641,-21.4688,-10
8390.2334,7,36,-617,-11.8125,-9
8390.2344,7,36,-620,-11.8125,-9
8390.2354,11,22,-650,-12.2344,-8
8390.2363,11,22,-578,-12.2344,-8
8390.2373,12,7,-522,7.21875,-7
8390.2383,12,0,-644,7.35938,-6
8390.2393,12,-10,-536,-2.34375,-6
8390.2402,12,-10,-411,-2.34375,-6
8390.2412,9,-23,80,17.625,-5
8390.2422,9,-23,241,17.625,-5
8390.2432,6,-28,753,18.1406,-4
8390.2441,5,-28,995,18.4219,-3
8390.2451,3,-28,1141,22.9688,-2
8390.2461,3,-28,1162,22.9688,-2
8390.2471,0,-21,1033,22.9688,-1
8390.2480,0,-21,983,22.9688,-1
8390.2490,-1,-10,906,9.89063,0
8390.2500,-1,-3,980,0.140625,0
8390.2510,-1,4,968,0.140625,0
8390.2520,-1,4,860,0.140625,0
8390.2529,0,17,473,-9.5625,1
8390.2549,0,17,420,-9.5625,1
8390.2559,3,25,53,-9.84375,2
8390.2568,5,30,-411,-9.98438,3
8390.2578,7,34,-727,-10.125,4
8390.2588,7,34,-825,-10.125,4
8390.2598,11,34,-1115,-10.5,5
8390.2607,11,34,-1234,-10.5,5
